INFO  - 2024-01-30 16:06:32.307; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :https://www.flipkart.com/4g-mobile-phones-store?otracker=undefined_footer
INFO  - 2024-01-30 16:29:37.968; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-30 16:29:37.980; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-30 16:30:12.642; com.flipkart.pageObjects.FlipkartAddCartPage; Get Title : Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-30 16:30:13.225; com.flipkart.pageObjects.FlipkartAddCartPage; Count of links 361
INFO  - 2024-01-30 16:30:13.226; com.flipkart.pageObjects.FlipkartAddCartPage; Count of Unique links:0
INFO  - 2024-01-30 16:30:13.362; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :null
INFO  - 2024-01-30 16:30:15.627; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-01-30 16:30:15.635; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-01-30 16:39:43.621; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-30 16:39:43.631; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-30 16:40:25.912; com.flipkart.pageObjects.FlipkartAddCartPage; Get Title : Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-30 16:40:29.086; com.flipkart.pageObjects.FlipkartAddCartPage; Count of links 359
INFO  - 2024-01-30 16:40:29.087; com.flipkart.pageObjects.FlipkartAddCartPage; Count of Unique links:0
INFO  - 2024-01-30 16:40:30.349; com.flipkart.pageObjects.FlipkartAddCartPage; Unique Link :null
INFO  - 2024-01-30 16:40:37.427; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-01-30 16:40:37.433; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-01-30 16:50:41.448; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-30 16:50:41.461; com.flipkart.testCases.BaseTest; Browser Name :Chrome
